"ID","publication_date","best_name","best_name_prob","best_common","best_common_prob","best_full","best_full_prob","article_count","extracted_url","extracted_url_status","extracted_url_coordinates","aug_extracted_url_country","wayback_url","affiliation","authors","grant_ids","grant_agencies","num_citations","aug_affiliation_countries"
"34718689",2022-01-01,"Antibiotic Resistant Target Seeker",0.790353626,"ARTS",0.60979425907135,"Antibiotic Resistant Target Seeker",0.790353626012802,1,"http://arts-db.ziemertlab.com","301","(48.5227,9.0522)","Germany","http://web.archive.org/web/20240529103957/https://arts-db.ziemertlab.com/","Interfaculty Institute of Microbiology and Infection Medicine, Institute for Bioinformatics and Medical Informatics, University of TÃ¼bingen, 72076 TÃ¼bingen, Germany.","Mungan MD, Blin K, Ziemert N","","German Research Foundation, University of TÃ¼bingen, Novo Nordisk Fonden, Novo Nordisk Foundation, German Center for Infection Research, Novo Nordisk Fonden, NNF Center for Biosustainability, Novo Nordisk Foundation",5,"Germany"
"34791371",2022-01-01,"AlphaFold DB",0.993730307,"AlphaFold DB",0.993730306625366,"AlphaFold Protein Structure Database",0.894862016042074,1,"http://alphafold.ebi.ac.uk","301","(39.0997,-94.5786)","USA","http://web.archive.org/web/20240708172106/https://alphafold.ebi.ac.uk/","European Molecular Biology Laboratory, European Bioinformatics Institute, Hinxton, UK.","Varadi M, Anyango S, Deshpande M, Nair S, Natassia C, Yordanova G, Yuan D, Stroe O, Wood G, Laydon A, Å½Ã­dek A, Green T, Tunyasuvunakool K, Petersen S, Jumper J, Clancy E, Green R, Vora A, Lutfi M, Figurnov M, Cowie A, Hobbs N, Kohli P, Kleywegt G, Birney E, Hassabis D, Velankar S","","DeepMind",2352,"UK"
"35068457",2022-01-01,"ADVP",0.9815315604,"ADVP",0.98153156,"Alzheimer's Disease Variant Portal",0.960921812057495,1,"http://advp.niagads.org","301","(39.0437,-77.4875)","USA","http://web.archive.org/web/20240303050445/https://advp.niagads.org/","Penn Neurodegeneration Genomics Center, Department of Pathology and Laboratory Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia PA, USA.","Kuksa PP, Liu CL, Fu W, Qu L, Zhao Y, Katanic Z, Clark K, Kuzma AB, Ho PC, Tzeng KT, Valladares O, Chou SY, Naj AC, Schellenberg GD, Wang LS, Leung YY","","NIA NIH HHS, NIA NIH HHS, NIA NIH HHS, NHGRI NIH HHS, NIA NIH HHS, NIA NIH HHS",6,"United States"
"35222847",2022-02-10,"ADDAGMA",0.994934142,"ADDAGMA",0.994934141635895,"domestic animal gut microbiome atlas",0.881645232439041,1,"http://addagma.omicsbio.info","200","(22.2783,114.1747)","China","http://web.archive.org/web/20230923113447/http://addagma.omicsbio.info/","College of Life Sciences, Shihezi University, Shihezi, Xinjiang 832003, China.","Xu Y, Lei B, Zhang Q, Lei Y, Li C, Li X, Yao R, Hu R, Liu K, Wang Y, Cui Y, Wang L, Dai J, Li L, Ni W, Zhou P, Liu ZX, Hu S","","",8,"China"
"35232080",2022-02-01,"Animal Audiogram Database",0.682225436,"",0,"Animal Audiogram Database",0.682225435972214,1,"http://animalaudiograms.org","302","(54.0872,12.1062)","Germany","http://web.archive.org/web/20240611085816/https://www.animalaudiograms.org/","Museum fÃ¼r Naturkunde Berlin, Leibniz Institute for Evolution and Biodiversity Science, InvalidenstraÃe 43, Berlin, 10115, Germany.","JÃ¤ckel D, Ortiz Troncoso A, DÃ¤hne M, BÃ¶lling C","","Umweltbundesamt",0,"Germany"
"35295213",2022-02-14,"AOP-DB",0.9471538514,"AOP-DB",0.947153851,"Pathway",0.499669313430786,1,"http://aopwiki.org","301","(45.8399,-119.7006)","USA","http://web.archive.org/web/20240519205857/https://aopwiki.org/","United States Environmental Protection Agency, Office of Research and Development, Center for Public Health and Environmental Assessment, Research Triangle Park, Durham, NC, United States.","Mortensen HM, Martens M, Senn J, Levey T, Evelo CT, Willighagen EL, Exner T","","U.S. Environmental Protection Agency",6,"United States, United States"
"35401578",2022-03-24,"miRAGDB",0.997167528,"miRAGDB",0.997167527675629,"",0,1,"http://52.4.112.252/shiny/miragdb","HTTPConnectionPool(host='52.4.112.252', port=80): Max retries exceeded with url: /shiny/miragdb (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7bb29f576ee0>, 'Connection to 52.4.112.252 timed out. (connect timeout=5)'))","",NA,"no_wayback","Department of Biotechnology and Bioinformatics, Institute of Bioinformatics and Applied Biotechnology, Bangalore, India.","Desai SS, Whadgar S, Raghavan SC, Choudhary B","","Department of Biotechnology, Ministry of Science and Technology, India",1,"India"
"35460467",2022-04-23,"SmGDB",0.992405713,"SmGDB",0.992405712604523,"miltiorrhiza genome database",0.969273005213056,1,"http://8.140.162.85","HTTPConnectionPool(host='8.140.162.85', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7bb29f4ccd90>, 'Connection to 8.140.162.85 timed out. (connect timeout=5)'))","",NA,"no_wayback","Agronomy College, Shandong Agricultural University, Tai'an, Shandong, 271028, China.","Zhou C, Lin C, Xing P, Li X, Song Z","","Natural Science Foundation of Shandong Province, National Natural Science Foundation of China",2,"China"
"35471187",2022-04-26,"Aegypti-Atlas",0.98744604,"Aegypti-Atlas",0.987446039915085,"",0,1,"http://aegyptiatlas.buchonlab.com","200","(40.8043,-74.0121)","USA","no_wayback","Cornell Institute of Host-Microbe Interactions and Disease, Department of Entomology, Cornell University, Ithaca, United States.","Hixson B, Bing XL, Yang X, Bonfini A, Nagy P, Buchon N","","National Institute of Allergy and Infectious Diseases, NIAID NIH HHS, National Science Foundation, National Institute of Allergy and Infectious Diseases, National Institute on Aging, NIAID NIH HHS, NIA NIH HHS",27,"United States"
"35480326",2022-04-11,"BuffGR",0.93102773,"BuffGR",0.93102773030599,"resource of buffalo",0.667975306510925,1,"http://backlin.cabgrid.res.in/buffgr","301","(28.6519,77.2315)","India","no_wayback","Centre for Agricultural Bioinformatics, ICAR-Indian Agricultural Statistics Research Institute, New Delhi, India.","Khan A, Singh K, Jaiswal S, Raza M, Jasrotia RS, Kumar A, Gurjar AKS, Kumari J, Nayan V, Iquebal MA, Angadi UB, Rai A, Datta TK, Kumar D","","Indian Council of Agricultural Research",1,"India"
